0.91667 {0: "Discussion", 1: "Advisor", 2: "Application", 3: "Culture", 4: "Assignment", 5: "Minute"}
0.91667 {0: "Context", 1: "AE", 2: "Production", 3: "Artist", 4: "Assignment", 5: "Minute"}
0.91667 {0: "Conclusion", 1: "Advisor", 2: "Personality", 3: "Hum", 4: "Assignment", 5: "Minute"}
0.90625 {0: "Conclusion", 1: "Engineer", 2: "Application", 3: "Citizen", 4: "location", 5: "Minute"}
0.90625 {0: "Introduction", 1: "Advisor", 2: "Attention", 3: "Woman", 4: "Assignment", 5: "Minute"}
0.89583 {0: "Conclusion", 1: "Engineer", 2: "Application", 3: "Citizen", 4: "Location", 5: "Minute"}
0.89583 {0: "Conclusion", 1: "Advisor", 2: "Application", 3: "Artist", 4: "Maps", 5: "Minute"}
0.89583 {0: "Discussion", 1: "Advisor", 2: "Application", 3: "Citizen", 4: "Assignment", 5: "Minute"}
0.89583 {0: "Conclusion", 1: "Advisor", 2: "Application", 3: "Real", 4: "Maps", 5: "Wrong"}
0.89583 {0: "Introduction", 1: "Advisor", 2: "Exception", 3: "Woman", 4: "Assignment", 5: "Minute"}
0.89583 {0: "Conclusion", 1: "Engineer", 2: "Application", 3: "Citizen", 4: "Maps", 5: "Number"}
0.89583 {0: "Conclusion", 1: "Issue", 2: "Application", 3: "Citizen", 4: "Maps", 5: "Minute"}
0.88542 {0: "Conclusion", 1: "AE", 2: "Application", 3: "Artist", 4: "Assignment", 5: "Minute"}
0.88542 {0: "Discussion", 1: "AE", 2: "Production", 3: "Actor", 4: "Maps", 5: "Minute"}
0.88542 {0: "Conclusion", 1: "Advisor", 2: "Application", 3: "Citizen", 4: "Maps", 5: "Number"}
0.88542 {0: "Context", 1: "Advisor", 2: "Production", 3: "Artist", 4: "Assignment", 5: "Minute"}
0.88542 {0: "Introduction", 1: "Advisor", 2: "Application", 3: "Citizen", 4: "Maps", 5: "Number"}
0.88542 {0: "Discussion", 1: "Advisor", 2: "Personality", 3: "Woman", 4: "Assignment", 5: "Minute"}
0.87500 {0: "Conclusion", 1: "Advisor", 2: "Production", 3: "Hum", 4: "Assignment", 5: "Minute"}
0.87500 {0: "Discussion", 1: "Advisor", 2: "Attention", 3: "Woman", 4: "Assignment", 5: "Minute"}
0.87500 {0: "Abstract", 1: "AE", 2: "Personality", 3: "Artist", 4: "Assignment", 5: "Minute"}
0.87500 {0: "Discussion", 1: "Advisor", 2: "Attention", 3: "Citizen", 4: "Assignment", 5: "Minute"}
0.87500 {0: "Introduction", 1: "Advisor", 2: "Application", 3: "Citizen", 4: "Maps", 5: "Minute"}
0.87500 {0: "Introduction", 1: "Advisor", 2: "Attention", 3: "Artist", 4: "Maps", 5: "Wrong"}
0.87500 {0: "Discussion", 1: "Advisor", 2: "Production", 3: "Artist", 4: "Assignment", 5: "Minute"}
0.87500 {0: "Discussion", 1: "AE", 2: "Application", 3: "Artist", 4: "Assignment", 5: "Minute"}
